month,total_orders,total_revenue,total_profit
2025-01,846,810237.66,311128.24
2025-02,808,791523.13,300793.19
2025-03,898,876892.49,330227.78
2025-04,876,850338.47,325672.85
2025-05,877,810496.34,308221.24
2025-06,884,865800.71,334149.33
2025-07,908,884782.71,343198.42
2025-08,851,810448.13,310491.28
2025-09,905,855783.88,328803.42
2025-10,953,915158.21,346391.06
2025-11,875,838206.73,319353.48
2025-12,900,865000.39,326757.27
2026-01,931,904818.36,341020.3
2026-02,786,741477.03,282939.66
2026-03,870,828842.8,316604.99
2026-04,885,835273.9,321825.65
2026-05,886,827781.16,314998.11
2026-06,912,861257.94,326984.79
2026-07,915,880542.04,330727.85
2026-08,904,847595.77,323584.36
2026-09,365,359856.48,136773.11000000002
