product_id,product_name,category,subcategory,total_orders,units_sold,total_revenue,total_profit
P00019,Keyboard 19,Electronics,Keyboard,465,1212,386865.94999999995,171190.55
P00002,Keyboard 2,Electronics,Keyboard,425,1081,376306.69,184115.7
P00012,Keyboard 12,Electronics,Keyboard,471,1189,367445.08,188203.33000000002
P00044,Hair Care 44,Beauty,Hair Care,449,1176,334838.97,136706.49000000002
P00004,Speaker 4,Electronics,Speaker,471,1144,325938.22000000003,152130.30000000002
P00084,Cereal 84,Grocery,Cereal,445,1135,317193.07,150949.62
P00040,Lamp 40,Home,Lamp,439,1069,308194.82,130323.91
P00009,Mouse 9,Electronics,Mouse,456,1122,304757.62,145141.9
P00036,Pillow 36,Home,Pillow,465,1174,304483.25,121198.37
P00018,Speaker 18,Electronics,Speaker,479,1239,299861.39,137255.02999999997
P00069,Tracker 69,Fitness,Tracker,490,1208,298435.77,82795.69
P00100,Tea 100,Grocery,Tea,454,1134,296173.19,149410.91
P00054,Fragrance 54,Beauty,Fragrance,449,1135,293060.18,146543.03
P00065,Resistance Band 65,Fitness,Resistance Band,454,1146,283558.51,131770.81000000003
P00098,Snacks 98,Grocery,Snacks,452,1126,281445.62,117871.59999999999
P00007,Mouse 7,Electronics,Mouse,426,1041,279980.85000000003,137728.2
P00052,Makeup 52,Beauty,Makeup,469,1166,276763.29000000004,111739.31000000001
P00088,Protein Bar 88,Grocery,Protein Bar,490,1171,276055.92,82524.75
P00090,Snacks 90,Grocery,Snacks,442,1120,271650.24,103224.63999999998
P00020,Speaker 20,Electronics,Speaker,447,1154,268802.01,133680.15
P00055,Body Care 55,Beauty,Body Care,440,1127,267517.02999999997,92358.69
P00079,Dumbbells 79,Fitness,Dumbbells,469,1168,263290.09,107584.01
P00057,Skin Care 57,Beauty,Skin Care,431,1068,258307.94999999998,132486.87
P00045,Skin Care 45,Beauty,Skin Care,426,1088,253064.94999999998,79246.07
P00062,Resistance Band 62,Fitness,Resistance Band,424,1101,252182.83000000002,64220.110000000015
P00056,Body Care 56,Beauty,Body Care,445,1092,251988.03,63257.66999999999
P00021,Desk 21,Home,Desk,456,1116,247976.94,74963.45999999999
P00092,Snacks 92,Grocery,Snacks,447,1097,242257.43,117725.98999999999
P00031,Pillow 31,Home,Pillow,424,1091,241449.94999999998,58718.359999999986
P00035,Storage Box 35,Home,Storage Box,434,1120,238814.59000000003,89675.39000000001
P00038,Cookware 38,Home,Cookware,442,1054,235659.13999999998,114944.51999999999
P00093,Coffee 93,Grocery,Coffee,447,1112,229097.71,43482.67000000001
P00074,Bottle 74,Fitness,Bottle,446,1114,227213.05,54944.09000000001
P00001,Smart Watch 1,Electronics,Smart Watch,461,1166,224649.09999999998,81580.89999999998
P00080,Resistance Band 80,Fitness,Resistance Band,456,1121,222844.19999999998,57350.97
P00008,Mouse 8,Electronics,Mouse,445,1114,221426.37999999998,70835.85999999997
P00011,Speaker 11,Electronics,Speaker,450,1104,221111.27,102232.54999999999
P00058,Makeup 58,Beauty,Makeup,443,1104,220330.39,43127.35000000001
P00087,Snacks 87,Grocery,Snacks,439,1110,217991.36000000002,41423.66000000001
P00072,Yoga Mat 72,Fitness,Yoga Mat,440,1119,214435.32000000004,77939.70000000003
P00030,Cookware 30,Home,Cookware,423,1052,212161.13,103026.65000000002
P00061,Dumbbells 61,Fitness,Dumbbells,440,1125,211946.05,101212.29999999999
P00010,Mouse 10,Electronics,Mouse,470,1196,206681.64,73076.48000000003
P00060,Hair Care 60,Beauty,Hair Care,423,1058,199254.96,38333.16
P00063,Tracker 63,Fitness,Tracker,463,1165,186806.82,57177.27
P00006,Smart Watch 6,Electronics,Smart Watch,422,1074,181352.32,52783.780000000006
