order_date,total_orders,total_customers,units_sold,total_revenue,total_profit,average_order_value
2025-01-01,18,18,115,19413.21,7440.36,1078.5116666666665
2025-01-02,24,24,120,18652.63,6391.45,777.1929166666667
2025-01-03,29,29,201,27844.23,10468.810000000001,960.1458620689655
2025-01-04,33,33,188,33770.05,13217.68,1023.3348484848485
2025-01-05,28,28,167,26676.89,10470.78,952.7460714285714
2025-01-06,27,27,164,23622.89,8775.78,874.9218518518518
2025-01-07,25,25,149,19909.46,7825.42,796.3783999999999
2025-01-08,24,24,163,25842.73,9887.560000000001,1076.7804166666667
2025-01-09,29,29,184,33069.48,13046.07,1140.3268965517243
2025-01-10,30,30,220,31901.43,13162.02,1063.381
2025-01-11,31,31,223,32331.22,12706.130000000001,1042.9425806451613
2025-01-12,29,29,188,30760.36,12351.81,1060.7020689655174
2025-01-13,29,29,149,20514.47,7465.73,707.3955172413794
2025-01-14,26,26,178,26888.96,10041.56,1034.190769230769
2025-01-15,26,26,157,22691.489999999998,8812.039999999999,872.7496153846153
2025-01-16,35,35,238,38552.479999999996,15372.93,1101.4994285714286
2025-01-17,23,22,131,19092.69,7011.58,830.1169565217391
2025-01-18,21,21,117,16386.579999999998,5807.29,780.3133333333333
2025-01-19,35,35,265,35750.67,13338.35,1021.4477142857143
2025-01-20,22,22,151,25906.69,10290.24,1177.5768181818182
2025-01-21,33,33,222,31965.62,11861.449999999999,968.6551515151515
2025-01-22,27,27,132,22001.6,8084.21,814.874074074074
2025-01-23,30,30,211,31976.68,12077.39,1065.8893333333333
2025-01-24,18,18,133,18719.71,7106.389999999999,1039.983888888889
2025-01-25,29,29,179,30721.9,12040.28,1059.3758620689655
2025-01-26,28,28,173,25886.41,10369.49,924.5146428571428
2025-01-27,30,30,167,21700.64,7644.0199999999995,723.3546666666666
2025-01-28,25,25,131,20248.3,8676.300000000001,809.932
2025-01-29,25,25,165,24106.75,8894.349999999999,964.27
2025-01-30,28,28,159,24480.09,9315.28,874.2889285714285
2025-01-31,29,29,206,28851.35,11175.49,994.8741379310344
2025-02-01,27,27,140,23541.149999999998,9344.609999999999,871.8944444444444
2025-02-02,36,36,248,38470.78,14375.33,1068.6327777777778
2025-02-03,26,26,165,25295.64,9958.720000000001,972.9092307692307
2025-02-04,45,45,249,38062.86,13690.050000000001,845.8413333333333
2025-02-05,37,37,256,42548.99,17018.02,1149.9727027027027
2025-02-06,24,24,159,27023.78,10690.61,1125.9908333333333
2025-02-07,29,29,181,26626.46,10375.78,918.1537931034483
2025-02-08,31,30,224,33931.81,13262.23,1094.5745161290322
2025-02-09,26,26,206,29614.53,10607.380000000001,1139.0203846153845
2025-02-10,29,29,164,26381.29,10020.08,909.6996551724138
2025-02-11,26,26,161,22610.239999999998,7829.97,869.6246153846153
2025-02-12,26,26,145,23181.46,8547.75,891.5946153846154
2025-02-13,21,21,136,21706.36,7688.38,1033.6361904761904
2025-02-14,29,28,172,28456.17,11498.07,981.2472413793103
2025-02-15,27,27,166,23942.54,9423.17,886.7607407407407
2025-02-16,25,25,163,26445.68,10324.47,1057.8272
2025-02-17,34,34,225,35399.56,13117.320000000002,1041.1635294117646
2025-02-18,27,27,149,21599.64,7187.6,799.9866666666667
2025-02-19,21,21,119,17995.62,7504.83,856.9342857142857
2025-02-20,29,29,199,31655.96,12591.17,1091.5848275862068
2025-02-21,30,30,201,34539.29,13473.79,1151.3096666666668
2025-02-22,28,28,187,31662.29,11892.03,1130.7960714285714
2025-02-23,32,32,197,27227.4,10561.35,850.85625
